,epoch,avrg_dev_loss,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved,fold,bert_param_size,head_param_size
0,0,0.10063194014407971,0.12014201693945108,0.24513195458851972,0.10438309400995201,21.018009662628174,0.0,0,7091712.0,77921.0
1,1,0.09028407531204047,0.3892442750896313,0.5056425849075393,0.09428298692697677,21.431832313537598,0.0,0,7091712.0,77921.0
2,2,0.08334521162841055,0.42314150880543694,0.5653206646227469,0.08122226221608782,21.653131246566772,0.0,0,7091712.0,77921.0
3,3,0.08632139889178453,0.4390805923249069,0.6169486573375806,0.07455623139427087,21.818179607391357,0.0,0,7091712.0,77921.0
4,4,0.08997373241517279,0.4562838436994261,0.6549381742940008,0.06968546004217362,21.873321533203125,0.0,0,7091712.0,77921.0
5,5,0.08755365897108007,0.4659273264884547,0.6944813198237312,0.0631263960570654,21.894726753234863,0.0,0,7091712.0,77921.0
6,6,0.08550019672623387,0.48741981773042065,0.7227390846713905,0.05644480810961991,21.928762197494507,0.0,0,7091712.0,77921.0
7,7,0.07988927885890007,0.4922129441675404,0.7715879190377878,0.050642489969173324,21.953678846359253,0.0,0,7091712.0,77921.0
8,8,0.0810321961288099,0.4850023804998284,0.7965332297416791,0.04519172500227099,21.918621063232422,0.0,0,7091712.0,77921.0
9,9,0.08505996620213543,0.48482988724602827,0.8031320707819399,0.04093199529658968,21.92763090133667,1.0,0,7091712.0,77921.0
0,0,0.09591852514832108,0.29785635986715614,0.3191203327182281,0.1351415623571271,21.79681706428528,0.0,1,7091712.0,77921.0
1,1,0.09406945730249087,0.4096831669830363,0.42284571707981505,0.10117019698998639,21.866371154785156,0.0,1,7091712.0,77921.0
2,2,0.08350637982840892,0.39592559200941513,0.4163544726898303,0.09930586062859152,21.928793907165527,0.0,1,7091712.0,77921.0
3,3,0.09703608947219672,0.31710330474452286,0.34959744460916936,0.09887523513948807,21.949484825134277,0.0,1,7091712.0,77921.0
4,4,0.09578246292140749,0.3375198558800216,0.3636992688296012,0.10220057322321652,21.892019987106323,0.0,1,7091712.0,77921.0
5,5,0.09648051761366704,0.2999630277696976,0.3473394774180212,0.1012675054023199,21.94868779182434,0.0,1,7091712.0,77921.0
6,6,0.08697834362586339,0.35758009812246794,0.42583323969371956,0.09519329360712354,21.89636778831482,0.0,1,7091712.0,77921.0
7,7,0.07749844701201827,0.44351154849367674,0.4885214349315714,0.0864295986977136,21.87712001800537,0.0,1,7091712.0,77921.0
8,8,0.07806658137727666,0.44155831525092365,0.5034564324398578,0.0812520744957935,21.899507522583008,0.0,1,7091712.0,77921.0
9,9,0.0787121768075007,0.4462278690347559,0.5114558742061327,0.07733048892049031,21.916362524032593,1.0,1,7091712.0,77921.0
0,0,0.10152784679774884,0.10828467033011195,0.1351667679856914,0.13857709828799017,21.822613954544067,0.0,2,7091712.0,77921.0
1,1,0.09827038714731182,0.42700945560801407,0.33755190556633685,0.10183950074922259,21.923606872558594,0.0,2,7091712.0,77921.0
2,2,0.08982617601200386,0.4264944194870702,0.4244269891269594,0.10034464550352543,21.930601358413696,0.0,2,7091712.0,77921.0
3,3,0.08971456603871451,0.37435811854588813,0.4046758810905599,0.10026245066356436,21.958619594573975,0.0,2,7091712.0,77921.0
4,4,0.08405073856314023,0.42934756869706764,0.47712593322067287,0.09230202457336621,21.95013165473938,0.0,2,7091712.0,77921.0
5,5,0.08452102128002378,0.4354850396834197,0.5158993990035555,0.08311228328776137,21.938187837600708,0.0,2,7091712.0,77921.0
6,6,0.075482203176728,0.4764418916777469,0.5663415360635806,0.07830508579021302,21.96397614479065,0.0,2,7091712.0,77921.0
7,7,0.0780023939355656,0.47593808264018017,0.590816292229683,0.07306144403937821,21.937416791915894,0.0,2,7091712.0,77921.0
8,8,0.07644462488867619,0.4886793980517252,0.6168133655043678,0.06711956164059794,21.940748691558838,0.0,2,7091712.0,77921.0
9,9,0.07358903506839717,0.5011787613857506,0.629600686312851,0.06447591697013824,21.95992398262024,1.0,2,7091712.0,77921.0
0,0,0.10317652575947621,0.2894535567126889,0.32123159283832003,0.12006990326063655,21.856101751327515,0.0,3,7091712.0,77921.0
1,1,0.10154082060412124,0.2645064961234758,0.3363945488255914,0.10218737935908487,21.937117099761963,0.0,3,7091712.0,77921.0
2,2,0.10018632271223599,0.37298956070195705,0.40183995514401133,0.09815201579340707,21.932169675827026,0.0,3,7091712.0,77921.0
3,3,0.09295574410094155,0.4389320951383131,0.49379003025275786,0.08820127016890829,21.910610675811768,0.0,3,7091712.0,77921.0
4,4,0.07910026513316014,0.48860953874576135,0.5795915727276786,0.0784738210212683,21.96871042251587,0.0,3,7091712.0,77921.0
5,5,0.08484877507995676,0.4803589811079328,0.6046418824949957,0.07307021020450324,21.91977596282959,0.0,3,7091712.0,77921.0
