,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed
0,0,0.10297219192280489,,0.16006698130274316,0.16387002282576668,0.10490547330715717,21.588335275650024
1,1,0.10203021545620526,,0.26506875939110064,0.319328844928051,0.10463540322887592,21.891874074935913
2,2,0.1006186352494885,,0.3393944211996017,0.40335886046490976,0.09810892809341606,22.13118314743042
3,3,0.10249175525763456,,0.37044723917803796,0.44341906421397476,0.0945204860315873,22.291271924972534
4,4,0.08639460780164775,,0.4147224992141645,0.4916280232166313,0.08801638057980782,22.587104082107544
5,5,0.08450803796158117,,0.43548995299240684,0.5257734202509259,0.08127641827504858,22.696189403533936
6,6,0.09062922220019733,,0.4457355258080841,0.547055749739661,0.07702278973073022,22.711562395095825
7,7,0.0816869170350187,,0.4596479446218688,0.5658374657556385,0.07374656117624706,22.76030707359314
8,8,0.08320407437927582,,0.4573901579215427,0.5771859669065666,0.07398199957087,22.791481018066406
9,9,0.09714148544213351,,0.45519181557463756,0.579695897125772,0.0729188621044159,22.820668935775757
10,10,0.08301432211609448,,0.46154448176560414,0.5925100390305826,0.07206099520190659,22.82280445098877
11,11,0.0827947381664725,,0.4625493066537022,0.5992045189172597,0.07078970422665788,22.88136315345764
12,12,0.08453399666091975,,0.46421313471542963,0.6011249893534739,0.06947360437713627,22.86513662338257
13,13,0.0829796920366147,,0.4661206386887695,0.6092523244337433,0.06767042076740509,22.861504554748535
14,14,0.08328209335313123,,0.46365944550070154,0.6123039727023709,0.06846835618663548,22.89009189605713
15,15,0.08317660430774969,,0.46166973098158026,0.6162116941699449,0.0676111489470698,22.89144539833069
16,16,0.08379068773458986,,0.4638903551803417,0.6175921854325837,0.06615837787588437,22.906421899795532
17,17,0.08428437218946569,,0.4628473723244695,0.6193995154497719,0.06591434186149357,22.90367603302002
18,18,0.0847977559794398,,0.4627661447071747,0.6208796694284233,0.06544670817625318,22.90764808654785
19,19,0.0845888421377715,,0.4623550672668371,0.6211832783282503,0.06481223629835324,22.902351140975952
