,epoch,avrg_dev_loss,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved,fold,bert_param_size,head_param_size
0,0,0.10024702107464825,0.07278871863678439,0.08304958914199909,0.12199451823100865,21.061452865600586,0.0,0,1789056.0,77921.0
1,1,0.09601273815389033,0.21445905592008185,0.24113460371930823,0.10397774565999753,21.53104019165039,0.0,0,1789056.0,77921.0
2,2,0.09419248667028216,0.34221594454588145,0.394121435074329,0.10040494663832343,21.671369314193726,0.0,0,1789056.0,77921.0
3,3,0.08943746128567943,0.3960743545481349,0.4635313687871932,0.09537358474090835,21.751498460769653,0.0,0,1789056.0,77921.0
4,4,0.08363262412172777,0.4057931968398334,0.4957808049727259,0.08812443316679135,21.761459350585938,0.0,0,1789056.0,77921.0
5,5,0.08229213953018188,0.4104333938118514,0.5223077991936321,0.07981573229777479,21.784613609313965,0.0,0,1789056.0,77921.0
6,6,0.08378668308809951,0.4234493861809196,0.5441116676527501,0.07587346086435229,21.770803213119507,0.0,0,1789056.0,77921.0
7,7,0.07947335254262995,0.44191146860912983,0.564246702516334,0.07406971506147741,21.744418144226074,0.0,0,1789056.0,77921.0
8,8,0.08053366557039597,0.45021275332109784,0.5812433368466691,0.07073639479474486,21.705693244934082,0.0,0,1789056.0,77921.0
9,9,0.07911799682511224,0.456448062308057,0.5909383572187193,0.07101496674607848,21.676270961761475,0.0,0,1789056.0,77921.0
10,10,0.07903732249030361,0.46307968377585657,0.5985471061922581,0.06848579883645071,21.689752340316772,0.0,0,1789056.0,77921.0
11,11,0.07816731088139393,0.46426915415412434,0.6041230689388232,0.0669239931000031,21.64569926261902,0.0,0,1789056.0,77921.0
12,12,0.07900529920502945,0.4668186822677825,0.6090805514278602,0.06659252307960921,21.661112308502197,0.0,0,1789056.0,77921.0
13,13,0.07860157404232908,0.46782013067394546,0.6112709256220358,0.0649944543142185,21.64404821395874,0.0,0,1789056.0,77921.0
14,14,0.07958632197093081,0.46794522732556865,0.6120785489411721,0.06552195982467905,21.655282735824585,1.0,0,1789056.0,77921.0
