,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.10324800496592242,,0.016166846155438255,0.07971545970957152,0.10233344491093586,22.188942193984985,1.0
1,1,0.10415533623274635,,0.15835279708512032,0.3121292770042097,0.10135244708667454,22.60263729095459,0.0
2,2,0.10039152292644277,,0.21310618302903683,0.3781908390454961,0.10120475037485106,22.865761518478394,0.0
3,3,0.08938145900473875,,0.3802522258439509,0.4584124946335614,0.09132652086579901,23.03812527656555,0.0
4,4,0.08984739815487582,,0.38079451402304587,0.5335355139909497,0.08617191140850385,23.173057079315186,0.0
5,5,0.09098267051226952,,0.3813129131512208,0.5851402855979593,0.07715791769516774,23.346024990081787,0.0
6,6,0.08975258469581604,,0.40468215593999535,0.6258485899579148,0.07058039426994629,23.531779766082764,0.0
7,7,0.08988246540812884,,0.4115709559003356,0.6519312036231456,0.06613732952401678,23.58745241165161,0.0
8,8,0.09360611548318583,,0.4046803538570116,0.686993709478588,0.06050094785407568,23.61875605583191,0.0
9,9,0.0955492768655805,,0.40280396117187306,0.6941950093708211,0.05644546371176202,23.629082918167114,0.0
