,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.09259843256543665,,0.32632170357703305,0.45682167110974287,0.23361423277320006,31.727643728256226,1.0
1,1,0.09382840815712423,,0.32562131249838994,0.4583141637341783,0.09012173840569125,32.21198272705078,0.0
2,2,0.10270403698086739,,0.3252816236114365,0.4593628960916143,0.08447103266023163,32.59396505355835,0.0
3,3,0.09573524226160611,,0.32504887074605093,0.4627446746842729,0.08350377666771922,32.79755783081055,0.0
4,4,0.10110330055741702,,0.32165070324110107,0.4775501412317479,0.08424901075533822,33.08933067321777,0.0
5,5,0.09950710482457105,,0.32053353587157424,0.5290781165192189,0.08318672517043912,33.11021876335144,0.0
6,6,0.09943714431103538,,0.3149870069252614,0.5888042764016176,0.07881652461922067,33.180389404296875,0.0
7,7,0.10462917080696892,,0.3196909917822554,0.7241049943019083,0.07031022015417743,33.19945192337036,0.0
8,8,0.10995398943915087,,0.31325481305303765,0.822803553593105,0.05668124838326222,33.20260715484619,0.0
9,9,0.10962454185766332,,0.33795410150104344,0.8617505088222255,0.042517889983569965,33.29472541809082,0.0
10,10,0.11100077366127688,,0.3446567773110687,0.8641360876731539,0.03432731577155427,14.511828899383545,0.0
11,11,0.11199145194362192,,0.34301602007497867,0.8648645392296334,0.03357259083029806,14.516127109527588,0.0
