,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.10075029161046534,,0.18060357904102914,0.31105259526277146,0.20046671858837461,21.758139610290527,1.0
1,1,0.09848180150284487,,0.30017934149881975,0.4413466611670724,0.09974043236838447,22.202664852142334,0.0
2,2,0.08924326804630897,,0.38291957378248687,0.4979893906924816,0.0944325750391198,22.376702785491943,0.0
3,3,0.08592474833130836,,0.42610051826104745,0.540630207926941,0.08275981030912481,22.57811164855957,0.0
4,4,0.0843327336889856,,0.4457472456078704,0.5866075557956462,0.0740449659876589,22.61103320121765,0.0
5,5,0.08435117913519635,,0.44868765908350006,0.6073030429591445,0.07203249440679693,22.643720388412476,0.0
6,6,0.08596674221403458,,0.44518294822770593,0.6223047876100497,0.067929970808964,22.67726469039917,0.0
7,7,0.08670558090157368,,0.4522365086325052,0.6296002837219783,0.06519375311640593,22.673586130142212,0.0
8,8,0.08641205837621409,,0.45037126787837956,0.6401178248100886,0.06469391393037434,22.67652153968811,0.0
9,9,0.08731846401796621,,0.44790408467134984,0.6431758451677946,0.06281372096039291,22.65875482559204,0.0
