,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.09243703984162387,,0.32355318232001634,0.46401214185381734,0.1243483872176745,21.005143642425537,1.0
1,1,0.09277226249961291,,0.32098334794062344,0.4813457940578469,0.08635592708985011,21.344107389450073,0.0
2,2,0.09281284975654938,,0.3250370840623787,0.4932138059858506,0.08472228097992066,21.59893488883972,0.0
3,3,0.09287228851633914,,0.33339212198690193,0.5059231743564886,0.08481160361861062,21.71529459953308,0.0
4,4,0.09296020536738284,,0.34421149995656963,0.5103791628255853,0.08247348519726697,21.841251611709595,0.0
5,5,0.0936625843100688,,0.34264268572448425,0.5241604984776751,0.07963056779570049,21.903775691986084,0.0
6,6,0.09075964505181593,,0.35788838687675284,0.5297937587170267,0.07966859070345378,22.098774909973145,0.0
7,7,0.09030413014047287,,0.3690662526274553,0.5356201137893818,0.07847956087217371,22.24506163597107,0.0
8,8,0.0935311694355572,,0.37515607537790696,0.5407401819934397,0.07818410341810976,22.275574207305908,0.0
9,9,0.09197968726649004,,0.3791120608444194,0.5456560565832008,0.07636828876586042,22.295287609100342,0.0
10,10,0.09004974934984655,,0.38348831870722727,0.5494036790889901,0.07646653185097071,22.305032968521118,0.0
11,11,0.09005745390758794,,0.3850959935681416,0.5505857380402674,0.07412119889552267,22.3397159576416,0.0
