,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.10195956817444633,,0.15916620957889016,0.21958638716748197,0.11616281367456302,21.0084547996521,1.0
1,1,0.09688667646225761,,0.3409318507234229,0.4381200797462779,0.10286742652583326,21.338820695877075,0.0
2,2,0.08949720377431196,,0.41399295197346375,0.49814925971176494,0.09394861108217484,21.56117343902588,0.0
3,3,0.08553995213964406,,0.4197829206401505,0.5232603240846522,0.08308722032632074,21.746174097061157,0.0
4,4,0.09081250604461222,,0.42388904583572773,0.5488669226078855,0.0774900375220638,21.834837913513184,0.0
5,5,0.08691856155500692,,0.4173463676982521,0.5757611223233063,0.07303967275935361,21.92897868156433,0.0
6,6,0.08853582369492334,,0.4112855354498088,0.5898655564567584,0.0709890494775823,22.08240294456482,0.0
7,7,0.09080120789654114,,0.424145174617528,0.5937487566106282,0.0687749747855541,22.20456838607788,0.0
8,8,0.0906228326699313,,0.4244758540413649,0.6042671867740178,0.06829734251667292,22.28636407852173,0.0
9,9,0.09160749636152211,,0.4245722389818812,0.6082199807695772,0.0660023513990335,22.303269863128662,0.0
10,10,0.09050603517714668,,0.42565044755572884,0.6118336805396187,0.06659514953692754,22.30559992790222,0.0
11,11,0.08969183945480515,,0.42537621819944704,0.613285350982594,0.06611850655550121,22.304288864135742,0.0
