,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed,model_saved
0,0,0.10004641729242661,,0.2104969861270176,0.24472571968820425,0.15643874215137246,20.98508906364441,1.0
1,1,0.09623177568702136,,0.3526576951343312,0.4346671314980192,0.10330417026311924,21.324214220046997,0.0
2,2,0.09033808331279193,,0.3907902736694442,0.47946035312186064,0.09567963344673826,21.56428050994873,0.0
3,3,0.08860527526806383,,0.3899667424890918,0.49890093348805536,0.09203308085218453,21.700754165649414,0.0
4,4,0.08945905702079043,,0.39567796118526277,0.5127344093141261,0.08414583895196262,21.85776996612549,0.0
5,5,0.08884870436261683,,0.39873570107310974,0.531640600885658,0.08144210527340572,21.924769639968872,0.0
6,6,0.08675225933685023,,0.40741541543298165,0.5561564284122811,0.07831392605972086,22.128439903259277,0.0
7,7,0.08736673786359675,,0.4146194074427631,0.563387408657376,0.07587658653720322,22.295512199401855,0.0
8,8,0.08704325271879926,,0.414137029797954,0.5702322056007619,0.07299644656033598,22.296947479248047,0.0
9,9,0.08784562393146403,,0.41362229844386694,0.5689356561245832,0.07237244177705203,22.330573558807373,0.0
