,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed
0,0,0.10448130921405904,,0.16933780249233926,0.21914380381038104,0.1086136263787237,31.601532220840454
1,1,0.10474380368695539,,0.20764694005086445,0.2785218585258499,0.1020411763053674,32.193236112594604
2,2,0.10374788501683403,,0.35599186047159864,0.13091924520032136,0.09973457659411634,32.4601354598999
3,3,0.1017552734736134,,0.3350656521592751,0.27870502442857575,0.10147969033091496,32.958719968795776
4,4,0.1038541820119409,,0.3565138085470291,0.3282288593073727,0.10027510013717872,33.209468126297
5,5,0.09349145477308947,,0.3434044439545441,0.4001737001713466,0.09912890810360256,33.133764028549194
6,6,0.11153840273618698,,0.3296734174880372,0.4015983920014102,0.09149994917659678,33.15900468826294
7,7,0.09339979159481385,,0.33140040936741705,0.4482560543788273,0.09097679217274372,33.18847870826721
8,8,0.08981508279547971,,0.3708222352798732,0.5067269791694676,0.08050356509211735,33.17672562599182
9,9,0.09211858120911262,,0.35486816428480006,0.5392236726435603,0.07615474474608389,33.2160964012146
